Tiempo_real,Tiempo_estimado,Error_absoluto
34.6,42.905893413196836,8.305893413196834
53.7,42.60217117590381,11.09782882409619
52.1,42.627314262530064,9.472685737469938
40.3,42.87607385531024,2.5760738553102414
55.6,43.13809114483313,12.461908855166868
40.8,43.093238972918485,2.2932389729184877
64.4,42.830331659806795,21.56966834019321
56.5,42.715459782605905,13.784540217394095
29.6,43.11562325886552,13.515623258865517
41.1,43.10746516337832,2.0074651633783205
37.0,42.978642342524694,5.978642342524694
58.7,43.07717358200584,15.622826417994162
62.2,42.77896381617899,19.421036183821016
27.9,42.8487622980411,14.948762298041103
40.7,43.08307447693731,2.38307447693731
59.3,42.76448682565741,16.53551317434259
36.9,42.6572418671826,5.7572418671826
47.3,43.30474886576474,3.9952511342352537
40.5,42.9528600323714,2.4528600323713974
38.3,42.555927380276884,4.255927380276887
23.3,43.02909058592609,19.72909058592609
47.8,43.16476347857522,4.63523652142478
46.6,42.89907291803896,3.7009270819610407
45.2,42.47708077933878,2.7229192206612254
15.4,43.00687350002023,27.606873500020228
39.8,42.826712412176406,3.0267124121764084
53.6,42.598719128314585,11.001280871685417
38.8,42.62463906187143,3.82463906187143
21.1,42.63215793383158,21.532157933831577
42.7,42.7717253209182,0.07172532091819761
53.8,42.75749913045836,11.042500869541634
32.5,42.95806768039286,10.458067680392858
